id,descricao,menorValorIdeal,maiorValorIdeal,valorApurado,classeCalculo,ordem,sigla,definicao,objetivo,tipo
163,"DIAS EM LACTAÇÃO",300.00,310.00,336.00,br.com.milkmoney.service.indicadores.DiasEmLactacao,8,DEL,"Dias em lactação é um indicador que apresenta a média dos dias de lactação do rebanho. O cálculo consiste na soma dos dias de lactação após o parto, para todas as vacas em lactação no rebanho. ","DENTRO OU ACIMA DO INTERVALO IDEAL",Z
164,"INTERVALO PARTO ATÉ A CONCEPÇÃO",60.00,120.00,50.00,br.com.milkmoney.service.indicadores.IntervaloPartoAteConcepcao,3,IPC,"O intervalo do parto até a concepção, também conhecido como Dias em Aberto e Período de Serviço, é o intervalo do parto até a confirmação da concepção. Caso a não tenha sido realizado a confirmação da concepção, é calculado o intervalo do parto até a data da última cobertura. Caso a vaca não tenha cobertura cadastrada após o parto, é calculado o intervalo do parto até a data atual. Esse período está diretamente ligado a data do primeiro serviço após o parto.","DENTRO OU ABAIXO DO INTERVALO IDEAL",Z
165,"INTERVALO ENTRE PARTOS",12.00,15.00,14.00,br.com.milkmoney.service.indicadores.IntervaloEntrePartos,1,IEP,"Este dado reflete o insucesso do manejo reprodutivo anteriormente aos partos, mas não aponta as causas das falhas. O intervalo entre partos atual é o cálculo do número de meses entre o parto mais recente e o parto anterior das vacas com mais de um parto. Neste dado não entram as vacas de primeira lactação. Em rebanhos com alta persistência de lactação, os dados mostram que rebanhos com intervalo entre partos atual menor que 11,7 meses produzem menos leite do que rebanhos com intervalos entre partos entre 11,8 e 13 meses.","DENTRO OU ABAIXO DO INTERVALO IDEAL",Z
166,"TAMANHO DO REBANHO",0.00,0.00,67.00,br.com.milkmoney.service.indicadores.TamanhoRebanho,1,TR,"Tamanho total do rebanho.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
167,"TOTAL FÊMEAS NO REBANHO",0.00,0.00,66.00,br.com.milkmoney.service.indicadores.TotalFemeas,2,FE,"Total de fêmeas no rebanho.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
168,"TOTAL DE VACAS NO REBANHO",0.00,0.00,1.00,br.com.milkmoney.service.indicadores.TotalVacas,3,VC,"Total de vacas no rebanho. O sistema considera vaca o animal que tenha pelo menos um parto cadastrado.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
169,"% DE VACAS NO REBANHO",0.00,0.00,1.00,br.com.milkmoney.service.indicadores.PercentualVacasRebanho,4,%VC,"Percentual de vacas no rebanho. O sistema considera vaca o animal que tenha pelo menos um parto cadastrado.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
170,NOVILHAS,0.00,0.00,65.00,br.com.milkmoney.service.indicadores.TotalNovilhas,5,NV,"Total de novilhas no rebanho.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
171,"NOVILHAS ATÉ 12 MESES",150.00,200.00,2.00,br.com.milkmoney.service.indicadores.TotalNovilhas12Meses,6,NV12,"Total de novilhas com até 1 (um) ano de idade.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
172,"NOVILHAS DE 12 A 18 MESES",0.00,0.00,17.00,br.com.milkmoney.service.indicadores.TotalNovilhas12a18Meses,7,NV18,"Total de novilhas com idade entre 12 e 18 meses.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
173,"NOVILHAS DE 18 A 24 MESES",0.00,0.00,11.00,br.com.milkmoney.service.indicadores.TotalNovilhas18a24Meses,8,NV24,"Total de novilhas com idade entre 18 e 24 meses.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
174,"NOVILHAS MAIS DE 24 MESES",0.00,0.00,35.00,br.com.milkmoney.service.indicadores.TotalNovilhasMais24Meses,9,NV>24,"Total e novilhas com idade maior que 24 meses.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
175,"VACAS EM LACTAÇÃO",0.00,0.00,1.00,br.com.milkmoney.service.indicadores.TotalVacasLactacao,10,VCL,"Número de vacas em lactação no rebanho. Para considerar que a vaca está em lactação é necessário existir pelo menos um parto cadastrado.","DENTRO OU ACIMA DO INTERVALO IDEAL",R
176,"VACAS SECAS",0.00,0.00,0.00,br.com.milkmoney.service.indicadores.TotalVacasSecas,11,VCS,"Número de vacas secas no rebanho. Para considerar a vaca seca o sistema exige que tenha sido registrado o encerramento da lactação do animal.","DENTRO OU ABAIXO DO INTERVALO IDEAL",R
177,"TAXA DE SERVIÇO (%)",0.00,60.00,5.00,br.com.milkmoney.service.indicadores.TaxaServico,4,TS,"A Taxa de Serviço, também conhecida como Taxa de Detecção de Cio, mede o número de vacas enseminadas em um período de 21 dias dentre os animais que estavam disponíveis para enseminar. A taxa de serviço é reflexo da taxa de detecção de cio, pois para a vaca ser inseminada, o cio tem que ser detectado.","DENTRO OU ACIMA DO INTERVALO IDEAL",Z
178,"TAXA DE PRENHES (%)",25.00,35.00,0.00,br.com.milkmoney.service.indicadores.TaxaPrenhes,6,TP,"Mede o porcentual de animais que ficam gestantes a cada 21 dias em relação ao número total de vacas. Esse indicador se difere da Taxa de Concepção (TC) pois este é calculado em relação a todas as vacas do rebanho enquanto que a (TC) se refere apenas aos animais inseminados. Vale lembrar que mesmo com uma TC alta a Taxa de Prenhes pode ser baixa, por isso no geral ela é mais importante. Os valores ideias giram em torno de 25 a 35%.","DENTRO OU ACIMA DO INTERVALO IDEAL",Z
179,"PRIMEIRO SERVIÇO APÓS O PARTO",0.00,90.00,50.00,br.com.milkmoney.service.indicadores.PrimeiroServicoAposParto,2,PSPP,"O número de dias pós-parto no primeiro serviço é influenciado pelo período voluntário de espera (PVE). É o cálculo do número de dias do parto até o primeiro serviço para as vacas inseminadas. Para um intervalo entre partos de 12 meses esse período deve ser no máximo de 85 dias.","DENTRO OU ACIMA DO INTERVALO IDEAL",Z
180,"VACAS SECAS x VACAS EM LACTAÇÃO",0.00,20.00,0.00,br.com.milkmoney.service.indicadores.RelacaoVacasSecasXVacasLactacao,9,VSVL,"A relação vacas secas/lactação mede a eficiência reprodutiva do rebanho e determina lucro ou prejuízo, sendo o desequilíbrio dessa relação uma das causas de maiores prejuízos na atividade leiteira. ","DENTRO OU ABAIXO DO INTERVALO IDEAL",Z
181,"NÚMERO DE SERVIÇOS POR CONCEPÇÃO",0.00,1.00,1.00,br.com.milkmoney.service.indicadores.NumeroServicosPorConcepcao,7,NSPC,"Número de serviços necessários até que se atinja a concepção. Cada repetição de cio necessitará de um novo serviço. No geral esse indicador se refere a quantidade de coberturas e inseminações que são necessárias até que o animal fique gestante. Como cada enseminação tem um intervalo de pelo menos 21 dias, significa que a cada repetição o animal tende a ampliar em 21 dias pelo menos, o seu intervalo entre partos.","DENTRO OU ACIMA DO INTERVALO IDEAL",Z
